t_s,muestra,modo_decision,pose_fuente,ruta_celdas,waypoints_total,waypoint_indice,distancia_waypoint_m,grid_fila,grid_columna,ps0_frontal_der,ps7_frontal_izq,ps2_lateral_der,ps5_lateral_izq,frontal_crudo,frontal_filtrado,frontal_kalman,kalman_ganancia,kalman_p,encoder_izq_rad,encoder_der_rad,avance_ds_m,velocidad_lineal_m_s,velocidad_angular_rad_s,odom_x_m,odom_y_m,odom_theta_rad,valor_decision,vel_motor_izq_rad_s,vel_motor_der_rad_s,accion,bloqueo_contador
0.064,1,kalman,supervisor,19,8,0,1.18896,13,1,63.662,69.984,63.765,66.769,66.823,66.823,66.823,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.21577,-1.13847,1.48597,66.823,1.734,2.656,SEGUIR_RUTA,1
0.128,2,kalman,supervisor,19,8,0,1.1862,13,1,67.792,67.068,71.729,70.236,67.43,67.127,67.19,0.07563,1.66387,0.11304,0.16956,0.002897,0.04526,0.34816,-1.21555,-1.1357,1.5077,67.19,1.821,2.569,SEGUIR_RUTA,0
0.192,3,kalman,supervisor,19,8,0,1.1834,13,1,69.651,65.048,62.721,69.746,67.349,67.201,67.512,0.10071,2.21572,0.22608,0.33284,0.002832,0.04425,0.30947,-1.21539,-1.13289,1.52459,67.512,1.889,2.501,SEGUIR_RUTA,0
0.256,4,kalman,supervisor,19,8,0,1.18059,13,1,62.823,70.805,64.972,63.387,66.814,67.104,67.733,0.12055,2.65216,0.3454,0.49612,0.002897,0.04526,0.27079,-1.21528,-1.13008,1.53844,67.733,1.944,2.446,SEGUIR_RUTA,0
0.32,5,kalman,supervisor,19,8,0,1.17779,13,1,72.76,64.941,63.731,64.206,68.85,67.453,68.185,0.13563,2.98394,0.471,0.65312,0.002897,0.04526,0.19342,-1.21521,-1.12727,1.54976,68.185,1.99,2.4,SEGUIR_RUTA,0
0.384,6,kalman,supervisor,19,8,0,1.17498,13,1,66.838,59.887,57.399,69.27,63.362,66.761,67.774,0.14676,3.22862,0.60288,0.80384,0.002897,0.04526,0.11605,-1.21516,-1.12446,1.55902,67.774,2.027,2.363,SEGUIR_RUTA,0
0.448,7,kalman,supervisor,19,8,0,1.17217,13,1,67.056,64.992,71.894,67.641,66.024,66.48,67.791,0.15478,3.40509,0.72848,0.95456,0.002832,0.04425,0.15474,-1.21514,-1.12165,1.56658,67.791,2.057,2.333,SEGUIR_RUTA,0
0.512,8,kalman,supervisor,19,8,0,1.16936,13,1,71.162,72.535,67.127,54.668,71.849,67.38,68.734,0.16047,3.5303,0.86036,1.10528,0.002897,0.04526,0.11605,-1.21514,-1.11884,1.57276,68.734,2.082,2.308,SEGUIR_RUTA,0
0.576,9,kalman,supervisor,19,8,0,1.16656,13,1,70.143,68.788,61.354,64.642,69.465,67.91,69.138,0.16446,3.61814,0.99224,1.24972,0.002832,0.04425,0.07737,-1.21515,-1.11603,1.57783,69.138,2.102,2.288,SEGUIR_RUTA,0
0.64,10,kalman,supervisor,19,8,0,1.16375,13,1,63.284,63.746,74.12,70.782,63.515,66.843,68.493,0.16724,3.67925,1.1304,1.40044,0.002961,0.04627,0.07737,-1.21518,-1.11323,1.58197,68.493,2.119,2.271,SEGUIR_RUTA,0
