t_s,muestra,modo_decision,pose_fuente,ruta_celdas,waypoints_total,waypoint_indice,distancia_waypoint_m,grid_fila,grid_columna,ps0_frontal_der,ps7_frontal_izq,ps2_lateral_der,ps5_lateral_izq,frontal_crudo,frontal_filtrado,frontal_kalman,kalman_ganancia,kalman_p,encoder_izq_rad,encoder_der_rad,avance_ds_m,velocidad_lineal_m_s,velocidad_angular_rad_s,odom_x_m,odom_y_m,odom_theta_rad,valor_decision,vel_motor_izq_rad_s,vel_motor_der_rad_s,accion,bloqueo_contador
0.064,1,kalman,supervisor,17,7,0,0.0926,12,0,63.662,69.984,63.765,66.769,66.823,66.823,66.823,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.21577,-1.13847,1.48597,66.823,-4.981,4.981,GIRAR_A_WAYPOINT,0
0.128,2,kalman,supervisor,17,7,0,0.0926,12,0,67.792,67.068,71.729,70.236,67.43,67.127,66.876,0.07563,1.66387,-0.314,0.32028,6.4e-05,0.00101,3.90707,-1.21577,-1.13847,1.71145,66.876,-4.065,4.065,GIRAR_A_WAYPOINT,0
0.192,3,kalman,supervisor,17,7,0,0.09259,12,0,69.651,65.048,62.721,69.746,67.349,67.201,66.924,0.10071,2.21572,-0.57148,0.57776,0.0,0.0,3.17208,-1.21578,-1.13846,1.90205,66.924,-3.292,3.292,GIRAR_A_WAYPOINT,0
0.256,4,kalman,supervisor,17,7,0,0.09256,12,0,62.823,70.805,64.972,63.387,66.814,67.104,66.91,0.12055,2.65216,-0.77872,0.785,0.0,0.0,2.55314,-1.21581,-1.13846,2.05229,66.91,-2.682,2.682,GIRAR_A_WAYPOINT,0
0.32,5,kalman,supervisor,17,7,0,0.09253,12,0,72.76,64.941,63.731,64.206,68.85,67.453,67.174,0.13563,2.98394,-0.95456,0.96084,0.0,0.0,2.1663,-1.21584,-1.13846,2.17257,67.174,-2.193,2.193,GIRAR_A_WAYPOINT,0
0.384,6,kalman,supervisor,17,7,0,0.09253,12,0,66.838,59.887,57.399,69.27,63.362,66.761,66.614,0.14676,3.22862,-1.09272,1.099,0.0,0.0,1.70209,-1.21584,-1.13845,2.27092,66.614,-1.794,1.794,GIRAR_A_WAYPOINT,0
0.448,7,kalman,supervisor,17,7,0,0.09252,12,0,67.056,64.992,71.894,67.641,66.024,66.48,66.523,0.15478,3.40509,-1.20576,1.21204,0.0,0.0,1.39262,-1.21584,-1.13844,2.35029,66.523,-1.473,1.473,GIRAR_A_WAYPOINT,0
0.512,8,kalman,supervisor,17,7,0,0.09252,12,0,71.162,72.535,67.127,54.668,71.849,67.38,67.377,0.16047,3.5303,-1.29996,1.30624,0.0,0.0,1.16052,-1.21584,-1.13843,2.41493,67.377,0.985,3.406,SEGUIR_RUTA,1
0.576,9,kalman,supervisor,17,7,0,0.08987,12,0,70.143,68.788,61.354,64.642,69.465,67.91,68.011,0.16446,3.61814,-1.23716,1.52604,0.002897,0.04526,0.9671,-1.21793,-1.13664,2.47049,68.011,1.175,3.215,SEGUIR_RUTA,0
0.64,10,kalman,supervisor,17,7,0,0.08713,12,0,63.284,63.746,74.12,70.782,63.515,66.843,67.549,0.16724,3.67925,-1.1618,1.73328,0.002897,0.04526,0.81236,-1.22017,-1.13492,2.51527,67.549,1.327,3.064,SEGUIR_RUTA,0
0.704,11,kalman,supervisor,17,7,0,0.08438,12,0,68.098,102.134,69.68,65.622,85.116,71.194,70.803,0.16916,3.72154,-1.08016,1.92796,0.002832,0.04425,0.69631,-1.22247,-1.1333,2.55359,70.803,1.455,2.935,SEGUIR_RUTA,0
