t_s,muestra,modo_decision,pose_fuente,ruta_celdas,waypoints_total,waypoint_indice,distancia_waypoint_m,grid_fila,grid_columna,ps0_frontal_der,ps7_frontal_izq,ps2_lateral_der,ps5_lateral_izq,frontal_crudo,frontal_filtrado,frontal_kalman,kalman_ganancia,kalman_p,encoder_izq_rad,encoder_der_rad,avance_ds_m,velocidad_lineal_m_s,velocidad_angular_rad_s,odom_x_m,odom_y_m,odom_theta_rad,valor_decision,vel_motor_izq_rad_s,vel_motor_der_rad_s,accion,bloqueo_contador
0.064,1,kalman,supervisor,23,7,0,0.12854,13,0,63.662,69.984,63.765,66.769,66.823,66.823,66.823,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.20169,-1.21719,1.74776,66.823,-6.28,6.28,GIRAR_A_WAYPOINT,0
0.128,2,kalman,supervisor,23,7,0,0.12854,13,0,67.792,67.068,71.729,70.236,67.43,67.127,66.876,0.07563,1.66387,-0.39564,0.40192,6.4e-05,0.00101,4.91285,-1.20169,-1.21719,2.03455,66.876,-6.28,6.28,GIRAR_A_WAYPOINT,0
0.192,3,kalman,supervisor,23,7,0,0.12854,13,0,69.651,65.048,62.721,69.746,67.349,67.201,66.924,0.10071,2.21572,-0.79128,0.79756,0.0,0.0,4.87417,-1.20169,-1.21719,2.03455,66.924,-6.28,6.28,GIRAR_A_WAYPOINT,0
0.256,4,kalman,supervisor,23,7,0,0.12854,13,0,62.823,70.805,64.972,63.387,66.814,67.104,66.91,0.12055,2.65216,-1.1932,1.19948,0.0,0.0,4.95154,-1.20169,-1.21719,2.03455,66.91,-6.28,6.28,GIRAR_A_WAYPOINT,0
0.32,5,kalman,supervisor,23,7,0,0.12854,13,0,72.76,64.941,63.731,64.206,68.85,67.453,67.174,0.13563,2.98394,-1.59512,1.6014,-0.0,-0.0,4.95154,-1.20169,-1.21719,2.03455,67.174,-6.28,6.28,GIRAR_A_WAYPOINT,0
0.384,6,kalman,supervisor,23,7,0,0.12854,13,0,66.838,59.887,57.399,69.27,63.362,66.761,66.614,0.14676,3.22862,-1.99704,2.00332,0.0,0.0,4.95154,-1.20169,-1.21719,2.03456,66.614,-6.28,6.28,GIRAR_A_WAYPOINT,0
0.448,7,kalman,supervisor,23,7,0,0.12854,13,0,67.056,64.992,71.894,67.641,66.024,66.48,66.523,0.15478,3.40509,-2.39268,2.39896,0.0,0.0,4.87417,-1.20169,-1.21719,2.17326,66.523,-6.28,6.28,GIRAR_A_WAYPOINT,0
0.512,8,kalman,supervisor,23,7,0,0.12854,13,0,71.162,72.535,67.127,54.668,71.849,67.38,67.377,0.16047,3.5303,-2.7946,2.80088,-0.0,-0.0,4.95154,-1.20169,-1.21719,2.31686,67.377,-6.188,6.188,GIRAR_A_WAYPOINT,0
0.576,9,kalman,supervisor,23,7,0,0.12854,13,0,70.143,68.788,61.354,64.642,69.465,67.91,67.721,0.16446,3.61814,-3.19024,3.19652,0.0,0.0,4.87417,-1.20169,-1.21719,2.31686,67.721,-6.188,6.188,GIRAR_A_WAYPOINT,0
0.64,10,kalman,supervisor,23,7,0,0.12854,13,0,63.284,63.746,74.12,70.782,63.515,66.843,67.018,0.16724,3.67925,-3.58588,3.59216,0.0,0.0,4.87417,-1.20169,-1.21719,2.31686,67.018,-6.188,6.188,GIRAR_A_WAYPOINT,0
0.704,11,kalman,supervisor,23,7,0,0.12854,13,0,68.098,66.564,69.68,65.622,67.331,67.637,67.071,0.16916,3.72154,-3.98152,3.9878,0.0,0.0,4.87417,-1.20169,-1.21719,2.31686,67.071,-6.188,6.188,GIRAR_A_WAYPOINT,0
0.768,12,kalman,supervisor,23,7,0,0.12854,13,0,68.155,73.454,60.339,66.996,70.805,68.593,67.707,0.17049,3.75068,-4.37088,4.37716,0.0,0.0,4.7968,-1.20169,-1.21719,2.38377,67.707,-5.917,5.917,GIRAR_A_WAYPOINT,0
0.832,13,kalman,supervisor,23,7,0,0.12854,13,0,66.619,68.489,62.182,72.358,67.554,67.734,67.681,0.1714,3.77071,-4.74768,4.75396,0.0,0.0,4.64207,-1.20169,-1.21719,2.51682,67.681,-5.377,5.377,GIRAR_A_WAYPOINT,0
0.896,14,kalman,supervisor,23,7,0,0.12854,13,0,69.809,69.763,66.024,70.967,69.786,67.798,68.043,0.17202,3.78446,-5.09308,5.09936,0.0,0.0,4.25523,-1.20169,-1.21719,2.51682,68.043,-5.377,5.377,GIRAR_A_WAYPOINT,0
0.96,15,kalman,supervisor,23,7,0,0.12854,13,0,67.51,65.362,69.295,68.284,66.436,68.382,67.766,0.17245,3.79387,-5.43848,5.44476,-0.0,-0.0,4.25523,-1.20169,-1.21719,2.51683,67.766,-5.377,5.377,GIRAR_A_WAYPOINT,0
1.024,16,kalman,supervisor,23,7,0,0.12854,13,0,72.056,63.584,67.125,62.728,67.82,68.48,67.775,0.17274,3.80032,-5.7776,5.78388,0.0,0.0,4.17786,-1.20169,-1.21719,2.55203,67.775,-5.234,5.234,GIRAR_A_WAYPOINT,0
1.088,17,kalman,supervisor,23,7,0,0.12854,13,0,61.21,67.347,69.334,69.812,64.278,67.175,67.17,0.17294,3.80473,-6.11044,6.11672,0.0,0.0,4.10049,-1.20169,-1.21719,2.66896,67.17,-4.759,4.759,GIRAR_A_WAYPOINT,0
1.152,18,kalman,supervisor,23,7,0,0.12854,13,0,62.1,67.006,63.979,69.308,64.553,66.575,66.717,0.17308,3.80775,-6.41816,6.42444,-0.0,-0.0,3.79102,-1.20169,-1.21719,2.66897,66.717,-4.759,4.759,GIRAR_A_WAYPOINT,0
1.216,19,kalman,supervisor,23,7,0,0.12854,13,0,67.686,64.656,67.936,66.03,66.171,65.852,66.623,0.17317,3.80981,-6.7196,6.72588,0.0,0.0,3.71365,-1.20169,-1.21719,2.76467,66.623,-4.371,4.371,GIRAR_A_WAYPOINT,0
1.28,20,kalman,supervisor,23,7,0,0.12854,13,0,63.675,70.418,65.771,69.959,67.046,65.974,66.696,0.17324,3.81122,-7.0022,7.00848,-0.0,-0.0,3.48155,-1.20169,-1.21719,2.96194,66.696,-3.57,3.57,GIRAR_A_WAYPOINT,0
1.344,21,kalman,supervisor,23,7,0,0.12854,13,0,67.986,65.157,62.879,57.993,66.572,65.724,66.675,0.17328,3.81218,-7.22828,7.23456,0.0,0.0,2.78524,-1.20169,-1.21719,2.96195,66.675,-3.57,3.57,GIRAR_A_WAYPOINT,0
