distFD_cruda_m;distFI_cruda_m;distMin_cruda_m;distFD_EMA_m;distFI_EMA_m;distMin_EMA_m;pred_kalman_m;dist_kalman_m;K_kalman;P_kalman;AvanceLineal_m;timestamp_s
0.098261;0.098287;0.098261;0.098312;0.098283;0.098283;0.086508;0.089181;0.227008;0.000341;0.002704;6.688
0.098373;0.098325;0.098325;0.098322;0.098361;0.098322;0.086553;0.089225;0.227008;0.000341;0.002639;6.816
0.098424;0.098425;0.098424;0.098379;0.098336;0.098336;0.086504;0.08919;0.227008;0.000341;0.002704;6.944
0.098313;0.098301;0.098301;0.098335;0.098293;0.098293;0.086504;0.08918;0.227008;0.000341;0.002704;7.072
0.098312;0.098292;0.098292;0.098371;0.098326;0.098326;0.086528;0.089206;0.227008;0.000341;0.002704;7.2
0.098346;0.098284;0.098284;0.098388;0.098328;0.098328;0.086562;0.089233;0.227008;0.000341;0.002639;7.328
0.09848;0.098363;0.098363;0.098448;0.098373;0.098373;0.086581;0.089258;0.227008;0.000341;0.002639;7.456
0.098458;0.098244;0.098244;0.098435;0.09835;0.09835;0.086609;0.089274;0.227008;0.000341;0.002639;7.584
0.098325;0.098481;0.098325;0.098378;0.098348;0.098348;0.086589;0.089258;0.227008;0.000341;0.002639;7.712
0.098243;0.098303;0.098243;0.09832;0.098323;0.09832;0.086602;0.089262;0.227008;0.000341;0.002639;7.84
0.098385;0.098295;0.098295;0.098363;0.098338;0.098338;0.086618;0.089279;0.227008;0.000341;0.002575;7.968
0.098439;0.098307;0.098307;0.098386;0.09833;0.09833;0.086632;0.089288;0.227008;0.000341;0.002575;8.096
0.098453;0.098396;0.098396;0.098377;0.098392;0.098377;0.086502;0.089198;0.227008;0.000341;0.002704;8.224
0.098182;0.098275;0.098182;0.098316;0.098335;0.098316;0.08653;0.089206;0.227008;0.000341;0.002704;8.352
0.098367;0.098395;0.098367;0.098335;0.098354;0.098335;0.086513;0.089197;0.227008;0.000341;0.002704;8.48
0.098284;0.098498;0.098284;0.098362;0.098404;0.098362;0.086541;0.089225;0.227008;0.000341;0.002704;8.608
0.098475;0.098253;0.098253;0.098361;0.098338;0.098338;0.086533;0.089213;0.227008;0.000341;0.002704;8.736
0.098372;0.098267;0.098267;0.098393;0.098326;0.098326;0.086556;0.089228;0.227008;0.000341;0.002704;8.864
0.098313;0.098282;0.098282;0.098396;0.098365;0.098365;0.086585;0.089259;0.227008;0.000341;0.002704;8.992
0.09838;0.098276;0.098276;0.098379;0.098341;0.098341;0.086581;0.08925;0.227008;0.000341;0.002704;9.12
0.09839;0.098294;0.098294;0.098431;0.098342;0.098342;0.08661;0.089273;0.227008;0.000341;0.002639;9.248
0.098244;0.098332;0.098244;0.098366;0.098343;0.098343;0.086616;0.089278;0.227008;0.000341;0.002639;9.376
0.098375;0.098462;0.098375;0.098335;0.098384;0.098335;0.086542;0.089219;0.227008;0.000341;0.002704;9.504
0.09839;0.098351;0.098351;0.098359;0.098367;0.098359;0.086556;0.089236;0.227008;0.000341;0.002639;9.632
0.098448;0.098412;0.098412;0.098403;0.098392;0.098392;0.086586;0.089266;0.227008;0.000341;0.002639;9.76
0.0984;0.097491;0.097491;0.098326;0.097975;0.097975;0.086547;0.089141;0.227008;0.000341;0.002639;9.888
0.098302;0.097283;0.097283;0.098337;0.09751;0.09751;0.086129;0.088713;0.227008;0.000341;0.002704;10.016
0.098237;0.098284;0.098237;0.098344;0.097807;0.097807;0.085822;0.088543;0.227008;0.000341;0.002704;10.144
0.098305;0.098416;0.098305;0.098333;0.098239;0.098239;0.086095;0.088852;0.227008;0.000341;0.002704;10.272
0.098294;0.098325;0.098294;0.098336;0.098348;0.098336;0.086372;0.089088;0.227008;0.000341;0.002704;10.4
0.098383;0.098448;0.098383;0.098368;0.098408;0.098368;0.089647;0.091627;0.227008;0.000341;0.001609;10.528
0.098364;0.098447;0.098364;0.09836;0.09841;0.09836;0.090782;0.092503;0.227008;0.000341;0.001609;10.656
0.098412;0.098284;0.098284;0.098366;0.098335;0.098335;0.091273;0.092876;0.227008;0.000341;0.001545;10.784
0.098461;0.098274;0.098274;0.098404;0.098328;0.098328;0.091358;0.092941;0.227008;0.000341;0.001545;10.912
0.098349;0.098291;0.098291;0.098379;0.098323;0.098323;0.091415;0.092983;0.227008;0.000341;0.001609;11.04
0.098403;0.098468;0.098403;0.098397;0.098383;0.098383;0.091453;0.093026;0.227008;0.000341;0.001545;11.168
0.098403;0.098303;0.098303;0.098368;0.098349;0.098349;0.089156;0.091243;0.227008;0.000341;0.002639;11.296
0.09825;0.098346;0.09825;0.098333;0.09833;0.09833;0.087544;0.089992;0.227008;0.000341;0.002639;11.424
0.098228;0.098275;0.098228;0.098305;0.098339;0.098305;0.087682;0.090093;0.227008;0.000341;0.002189;11.552
0.098407;0.098415;0.098407;0.0983;0.098328;0.0983;0.087893;0.090256;0.227008;0.000341;0.002317;11.68
0.098267;0.098362;0.098267;0.098342;0.098349;0.098342;0.087045;0.08961;0.227008;0.000341;0.002639;11.808
0.098385;0.098401;0.098385;0.098375;0.098386;0.098375;0.08677;0.089405;0.227008;0.000341;0.002639;11.936
0.098423;0.098358;0.098358;0.098401;0.098409;0.098401;0.086669;0.089332;0.227008;0.000341;0.002639;12.064
0.098371;0.098353;0.098353;0.098387;0.098408;0.098387;0.08658;0.08926;0.227008;0.000341;0.002704;12.192
0.098349;0.098259;0.098259;0.09835;0.098371;0.09835;0.086637;0.089296;0.227008;0.000341;0.002639;12.32
0.098412;0.098326;0.098326;0.098316;0.09836;0.098316;0.086532;0.089207;0.227008;0.000341;0.002704;12.448
0.098411;0.098519;0.098411;0.09835;0.098402;0.09835;0.08654;0.089221;0.227008;0.000341;0.002704;12.576
0.098286;0.09838;0.098286;0.098339;0.098385;0.098339;0.086568;0.08924;0.227008;0.000341;0.002704;12.704
0.09846;0.098368;0.098368;0.098375;0.098373;0.098373;0.08658;0.089257;0.227008;0.000341;0.002639;12.832
0.098298;0.098363;0.098298;0.098351;0.098391;0.098351;0.086547;0.089227;0.227008;0.000341;0.002704;12.96
0.098497;0.098406;0.098406;0.098412;0.098372;0.098372;0.086555;0.089237;0.227008;0.000341;0.002704;13.088
0.098389;0.09831;0.09831;0.098402;0.098299;0.098299;0.086524;0.089197;0.227008;0.000341;0.002704;13.216
