PoseX_m;PoseY_m;PosePhi_rad;IndiceWaypoint;WP_X_m;WP_Y_m;DistWaypoint_m;ErrorAngular_rad;EstadoArbitro;timestamp_s
0.019839;-0.028089;0.837389;1;0.45;0.45;0.643123;0.00073;waypoint;8.736
0.026987;-0.020147;0.837389;1;0.45;0.45;0.632438;0.000732;waypoint;8.864
0.034135;-0.012204;0.837389;1;0.45;0.45;0.621752;0.000734;waypoint;8.992
0.041283;-0.004262;0.837389;1;0.45;0.45;0.611067;0.000737;waypoint;9.12
0.048431;0.003681;0.837389;1;0.45;0.45;0.600382;0.000739;waypoint;9.248
0.055579;0.011623;0.837389;1;0.45;0.45;0.589696;0.000741;waypoint;9.376
0.062768;0.019616;0.839865;1;0.45;0.45;0.578946;-0.001738;waypoint;9.504
0.069916;0.027559;0.839865;1;0.45;0.45;0.568261;-0.001736;waypoint;9.632
0.077064;0.035501;0.839865;1;0.45;0.45;0.557576;-0.001733;waypoint;9.76
0.084212;0.043444;0.839865;1;0.45;0.45;0.54689;-0.001731;waypoint;9.888
0.0914;0.051436;0.837389;1;0.45;0.45;0.53614;0.000741;waypoint;10.016
0.098548;0.059379;0.837389;1;0.45;0.45;0.525455;0.000744;waypoint;10.144
0.105697;0.067322;0.837389;1;0.45;0.45;0.51477;0.000747;waypoint;10.272
0.11284;0.075269;0.837389;1;0.45;0.45;0.504084;0.000736;bypass;10.4
0.116957;0.079962;0.864623;1;0.45;0.45;0.497841;-0.026655;bypass;10.528
0.120994;0.08481;0.88938;1;0.45;0.45;0.491538;-0.051906;bypass;10.656
0.124829;0.089655;0.914138;1;0.45;0.45;0.485371;-0.077474;waypoint;10.784
0.128615;0.0947;0.938896;1;0.45;0.45;0.479089;-0.10342;bypass;10.912
0.132239;0.099785;0.966129;1;0.45;0.45;0.472888;-0.132184;bypass;11.04
0.135729;0.104962;0.988411;1;0.45;0.45;0.466709;-0.15638;waypoint;11.168
0.140839;0.112462;0.951275;1;0.45;0.45;0.457725;-0.122025;waypoint;11.296
0.14712;0.121026;0.924041;1;0.45;0.45;0.447169;-0.097369;waypoint;11.424
0.153192;0.128779;0.87205;1;0.45;0.45;0.437353;-0.047172;waypoint;11.552
0.159445;0.135707;0.805204;1;0.45;0.45;0.428022;0.01942;waypoint;11.68
0.166835;0.143424;0.810156;1;0.45;0.45;0.417338;0.014919;waypoint;11.808
0.174197;0.151169;0.810156;1;0.45;0.45;0.406654;0.015295;waypoint;11.936
0.181544;0.158928;0.815107;1;0.45;0.45;0.395969;0.010689;waypoint;12.064
0.188904;0.166763;0.817583;1;0.45;0.45;0.38522;0.008468;waypoint;12.192
0.196161;0.174518;0.820059;1;0.45;0.45;0.374599;0.006207;waypoint;12.32
0.203487;0.182384;0.822535;1;0.45;0.45;0.36385;0.003887;waypoint;12.448
0.210767;0.190207;0.822535;1;0.45;0.45;0.353164;0.004042;waypoint;12.576
0.218032;0.198042;0.822535;1;0.45;0.45;0.342479;0.004149;waypoint;12.704
0.225293;0.205882;0.822535;1;0.45;0.45;0.331794;0.004243;waypoint;12.832
0.232594;0.213772;0.82501;1;0.45;0.45;0.321044;0.001857;waypoint;12.96
0.23985;0.221616;0.82501;1;0.45;0.45;0.310358;0.001942;waypoint;13.088
0.247095;0.22947;0.82501;1;0.45;0.45;0.299673;0.001989;waypoint;13.216
0.254336;0.237328;0.82501;1;0.45;0.45;0.288988;0.002017;waypoint;13.344
0.261577;0.245186;0.82501;1;0.45;0.45;0.278302;0.002047;waypoint;13.472
0.268818;0.253044;0.82501;1;0.45;0.45;0.267617;0.002079;waypoint;13.6
0.2761;0.260951;0.827486;1;0.45;0.45;0.256867;-0.000374;waypoint;13.728
0.283336;0.268814;0.827486;1;0.45;0.45;0.246182;-0.000364;waypoint;13.856
0.290572;0.276676;0.827486;1;0.45;0.45;0.235496;-0.000353;waypoint;13.984
0.297813;0.284534;0.827486;1;0.45;0.45;0.224811;-0.00031;waypoint;14.112
0.305049;0.292397;0.827486;1;0.45;0.45;0.214125;-0.000295;waypoint;14.24
0.312285;0.300259;0.827486;1;0.45;0.45;0.20344;-0.000279;waypoint;14.368
0.319521;0.308122;0.827486;1;0.45;0.45;0.192755;-0.00026;waypoint;14.496
0.326756;0.315984;0.827486;1;0.45;0.45;0.182069;-0.00024;waypoint;14.624
0.333988;0.323851;0.827486;1;0.45;0.45;0.171384;-0.000255;waypoint;14.752
0.341265;0.331763;0.82501;1;0.45;0.45;0.160634;0.002224;waypoint;14.88
0.348501;0.339626;0.82501;1;0.45;0.45;0.149948;0.00225;waypoint;15.008
0.355778;0.347538;0.827486;1;0.45;0.45;0.139199;-0.00022;waypoint;15.136
0.363009;0.355405;0.827486;1;0.45;0.45;0.128513;-0.000238;waypoint;15.264
0.370245;0.363268;0.827486;1;0.45;0.45;0.117828;-0.000204;waypoint;15.392
0.377476;0.371135;0.827486;1;0.45;0.45;0.107142;-0.000225;waypoint;15.52
